Ip,prolific_pid,study_id,session_id,sex,age,country,level_of_study,comments
78.197.241.68,11111111,-1,-1,reloaded14

78.197.241.68,11111111,-1,-1,reloaded15

78.197.241.68,none,-1,-1,reloaded0

78.197.241.68,none,-1,-1,reloaded1

78.197.241.68,none,-1,-1,reloaded2

78.197.241.68,none,-1,-1,reloaded3

78.197.241.68,none,-1,-1,reloaded4

78.197.241.68,none,-1,-1,reloaded5

78.197.241.68,none,-1,-1,reloaded6

78.197.241.68,none,-1,-1,reloaded7

78.197.241.68,none,-1,-1,reloaded8

78.197.241.68,none,-1,-1,reloaded9

78.197.241.68,none,-1,-1,reloaded10

78.197.241.68,none,-1,-1,reloaded11

78.197.241.68,none,-1,-1,reloaded12

78.197.241.68,none,-1,-1,reloaded13

78.197.241.68,none,-1,-1,reloaded14

78.197.241.68,none,-1,-1,reloaded15

78.197.241.68,none,-1,-1,reloaded16

78.197.241.68,1111,-1,-1,reloaded17

78.197.241.68,none,-1,-1,reloaded0

78.197.241.68,none,-1,-1,reloaded0

78.197.241.68,none,-1,-1,reloaded1

78.197.241.68,none,-1,-1,reloaded0

78.197.241.68,none,-1,-1,reloaded1

78.197.241.68,none,-1,-1,reloaded0

78.197.241.68,none,-1,-1,reloaded0

78.197.241.68,none,-1,-1,reloaded1

78.197.241.68,none,-1,-1,reloaded2

78.197.241.68,none,-1,-1,reloaded3

78.197.241.68,none,-1,-1,reloaded4

78.197.241.68,none,-1,-1,reloaded5

78.197.241.68,none,-1,-1,reloaded6

78.197.241.68,none,-1,-1,reloaded7

78.197.241.68,none,-1,-1,reloaded8

78.197.241.68,none,-1,-1,reloaded9

78.197.241.68,none,-1,-1,reloaded10

null,none,-1,-1,reloaded11

78.197.241.68,none,-1,-1,reloaded12

78.197.241.68,none,-1,-1,reloaded13

78.197.241.68,none,-1,-1,reloaded14

78.197.241.68,none,-1,-1,reloaded15

78.197.241.68,none,-1,-1,reloaded16

78.197.241.68,none,-1,-1,reloaded17

78.197.241.68,none,-1,-1,reloaded18

78.197.241.68,none,-1,-1,reloaded19

78.197.241.68,none,-1,-1,reloaded20

78.197.241.68,none,-1,-1,reloaded21

78.197.241.68,none,-1,-1,reloaded22

78.197.241.68,none,-1,-1,reloaded23

78.197.241.68,none,-1,-1,reloaded24

null,none,-1,-1,reloaded25

78.197.241.68,none,-1,-1,reloaded26

78.197.241.68,none,-1,-1,reloaded27

78.197.241.68,none,-1,-1,reloaded28

78.197.241.68,none,-1,-1,reloaded29

78.197.241.68,none,-1,-1,reloaded30

78.197.241.68,none,-1,-1,reloaded31

78.197.241.68,none,-1,-1,reloaded32

78.197.241.68,none,-1,-1,reloaded33

78.197.241.68,none,-1,-1,reloaded34

78.197.241.68,none,-1,-1,reloaded35

78.197.241.68,none,-1,-1,reloaded36

78.197.241.68,none,-1,-1,reloaded37

78.197.241.68,none,-1,-1,reloaded38

78.197.241.68,none,-1,-1,reloaded39

78.197.241.68,none,-1,-1,reloaded40

78.197.241.68,none,-1,-1,reloaded41

78.197.241.68,none,-1,-1,reloaded42

78.197.241.68,none,-1,-1,reloaded43

78.197.241.68,none,-1,-1,reloaded44

78.197.241.68,none,-1,-1,reloaded45

78.197.241.68,none,-1,-1,reloaded0

78.197.241.68,none,-1,-1,reloaded1

78.197.241.68,none,-1,-1,reloaded0

78.197.241.68,none,-1,-1,reloaded1

78.197.241.68,none,-1,-1,reloaded2

78.197.241.68,none,-1,-1,reloaded3

78.197.241.68,none,-1,-1,reloaded4

78.197.241.68,none,-1,-1,reloaded5

78.197.241.68,none,-1,-1,reloaded6

78.197.241.68,none,-1,-1,reloaded7

78.197.241.68,none,-1,-1,reloaded8

78.197.241.68,none,-1,-1,reloaded0

78.197.241.68,none,-1,-1,reloaded1

78.197.241.68,none,-1,-1,reloaded2

78.197.241.68,none,-1,-1,reloaded3

78.197.241.68,none,-1,-1,reloaded4

78.197.241.68,none,-1,-1,reloaded5

78.197.241.68,none,-1,-1,reloaded6

78.197.241.68,none,-1,-1,reloaded7

78.197.241.68,none,-1,-1,reloaded8

78.197.241.68,none,-1,-1,reloaded9

78.197.241.68,none,-1,-1,reloaded10

78.197.241.68,none,-1,-1,reloaded11

78.197.241.68,none,-1,-1,reloaded12

